iid,gender,age,field,field_cd,race,imprace,imprelig,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1
36,0,26.0,Statistics,2.0,2.0,7.0,8.0,2.0,5.0,2.0,Biostatistics,4.0,6.0,1.0,4.0,6.0,7.0,7.0,7.0,1.0,3.0,9.0,1.0,9.0,6.0,6.0,7.0,5.0,1.0,20.0,25.0,20.0,15.0,15.0,5.0,40.0,5.0,10.0,30.0,5.0,10.0,8.0,7.0,8.0,8.0,6.0
37,0,27.0,Organizational Psychology,3.0,2.0,5.0,8.0,2.0,6.0,2.0,Organizational Change Consultant,7.0,6.0,4.0,6.0,10.0,9.0,8.0,7.0,6.0,7.0,5.0,6.0,10.0,7.0,8.0,7.0,4.0,9.0,10.0,10.0,30.0,25.0,10.0,15.0,30.0,10.0,15.0,20.0,10.0,15.0,7.0,8.0,9.0,7.0,5.0
38,0,23.0,Law,1.0,1.0,8.0,1.0,1.0,4.0,3.0,law,1.0,7.0,2.0,7.0,10.0,2.0,2.0,7.0,4.0,7.0,2.0,8.0,8.0,10.0,10.0,10.0,10.0,2.0,50.0,10.0,20.0,10.0,10.0,0.0,70.0,5.0,5.0,15.0,0.0,5.0,8.0,2.0,8.0,7.0,8.0
39,0,24.0,Law,1.0,3.0,6.0,4.0,5.0,6.0,4.0,lawyer,1.0,3.0,2.0,4.0,10.0,10.0,8.0,7.0,1.0,5.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,1.0,20.0,20.0,20.0,15.0,15.0,10.0,55.0,5.0,10.0,15.0,5.0,10.0,6.0,9.0,8.0,6.0,7.0
40,1,25.0,Operations Research,,4.0,9.0,6.0,2.0,7.0,7.0,tech professional,,4.0,9.0,3.0,7.0,7.0,8.0,5.0,7.0,9.0,7.0,5.0,5.0,8.0,8.0,10.0,4.0,2.0,25.0,20.0,25.0,20.0,10.0,0.0,40.0,0.0,30.0,20.0,10.0,0.0,3.0,10.0,9.0,8.0,5.0
41,1,30.0,law,1.0,4.0,1.0,1.0,2.0,6.0,5.0,law,1.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,10.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,30.0,20.0,10.0,30.0,0.0,10.0,40.0,30.0,0.0,30.0,0.0,0.0,5.0,7.0,8.0,5.0,5.0
42,1,23.0,Mechanical Engineering,5.0,4.0,1.0,6.0,2.0,7.0,4.0,Engineer,5.0,1.0,1.0,7.0,5.0,3.0,3.0,3.0,1.0,1.0,9.0,8.0,5.0,7.0,2.0,5.0,2.0,1.0,20.0,25.0,20.0,15.0,10.0,10.0,25.0,10.0,10.0,30.0,5.0,20.0,6.0,9.0,8.0,6.0,4.0
43,1,24.0,Economics,8.0,2.0,1.0,1.0,6.0,6.0,3.0,Academic,2.0,8.0,9.0,6.0,5.0,7.0,7.0,2.0,5.0,5.0,9.0,6.0,7.0,4.0,6.0,5.0,2.0,1.0,25.0,35.0,30.0,10.0,0.0,0.0,20.0,25.0,20.0,20.0,5.0,10.0,3.0,8.0,7.0,3.0,2.0
44,1,24.0,Psychology,3.0,2.0,3.0,3.0,1.0,3.0,1.0,academia,2.0,9.0,1.0,8.0,7.0,8.0,8.0,10.0,6.0,7.0,8.0,1.0,7.0,3.0,8.0,1.0,6.0,8.0,25.0,15.0,25.0,25.0,15.0,15.0,50.0,5.0,15.0,20.0,5.0,5.0,7.0,9.0,9.0,8.0,9.0
45,1,28.0,Finance,8.0,2.0,6.0,6.0,2.0,6.0,3.0,banker / academia,7.0,9.0,7.0,3.0,6.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,3.0,25.0,15.0,25.0,15.0,0.0,20.0,20.0,20.0,20.0,10.0,10.0,20.0,7.0,8.0,8.0,6.0,7.0
46,1,26.0,Finanace,8.0,2.0,2.0,3.0,2.0,6.0,2.0,banker,7.0,10.0,7.0,5.0,6.0,7.0,7.0,8.0,3.0,7.0,7.0,4.0,4.0,6.0,5.0,6.0,2.0,7.0,20.0,35.0,20.0,10.0,10.0,5.0,20.0,20.0,20.0,25.0,5.0,10.0,7.0,8.0,7.0,5.0,7.0
47,1,30.0,Finance&Economics,8.0,2.0,2.0,2.0,1.0,6.0,1.0,Academic,2.0,6.0,7.0,2.0,8.0,7.0,6.0,3.0,7.0,4.0,7.0,4.0,5.0,8.0,8.0,7.0,2.0,1.0,20.0,20.0,25.0,25.0,5.0,5.0,25.0,20.0,20.0,15.0,15.0,5.0,8.0,7.0,9.0,9.0,3.0
48,1,22.0,Undergrad - GS,12.0,2.0,9.0,2.0,1.0,5.0,2.0,Music production,6.0,3.0,1.0,6.0,7.0,7.0,8.0,1.0,5.0,8.0,4.0,6.0,10.0,10.0,6.0,8.0,6.0,2.0,30.0,15.0,25.0,25.0,5.0,0.0,30.0,15.0,25.0,25.0,5.0,0.0,7.0,9.0,7.0,6.0,6.0
49,1,25.0,Mathematical Finance,8.0,4.0,1.0,3.0,1.0,3.0,2.0,Entrepreneur,7.0,10.0,7.0,5.0,7.0,6.0,7.0,2.0,8.0,7.0,9.0,5.0,5.0,6.0,5.0,8.0,2.0,7.0,20.0,20.0,20.0,20.0,5.0,15.0,30.0,15.0,15.0,15.0,15.0,10.0,7.0,10.0,10.0,10.0,8.0
50,1,27.0,Law,1.0,1.0,4.0,4.0,6.0,6.0,2.0,lawyer,1.0,10.0,10.0,3.0,8.0,5.0,3.0,4.0,3.0,10.0,5.0,6.0,8.0,10.0,7.0,10.0,6.0,2.0,35.0,10.0,20.0,15.0,10.0,10.0,60.0,10.0,5.0,5.0,10.0,10.0,8.0,9.0,10.0,9.0,8.0
51,1,23.0,Law,1.0,2.0,5.0,10.0,1.0,5.0,3.0,Law,1.0,6.0,6.0,7.0,3.0,4.0,3.0,6.0,5.0,4.0,5.0,7.0,1.0,6.0,1.0,2.0,2.0,1.0,25.0,10.0,35.0,15.0,0.0,15.0,25.0,5.0,15.0,20.0,30.0,5.0,6.0,8.0,10.0,2.0,2.0
52,1,21.0,Law,1.0,2.0,10.0,9.0,1.0,4.0,1.0,Intellectual Property Attorney,1.0,8.0,5.0,3.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,7.0,4.0,6.0,3.0,5.0,4.0,2.0,15.0,20.0,15.0,30.0,5.0,15.0,10.0,15.0,20.0,20.0,25.0,10.0,5.0,8.0,8.0,6.0,7.0
53,1,28.0,Medicine,4.0,2.0,2.0,2.0,2.0,6.0,2.0,Medicine,4.0,8.0,4.0,3.0,10.0,9.0,8.0,8.0,4.0,4.0,9.0,5.0,7.0,9.0,9.0,9.0,7.0,3.0,40.0,15.0,20.0,10.0,5.0,10.0,30.0,15.0,20.0,15.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0
54,1,28.0,MBA,8.0,2.0,1.0,1.0,5.0,5.0,1.0,consulting,7.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,40.0,20.0,20.0,20.0,0.0,0.0,20.0,30.0,10.0,20.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0
55,1,23.0,LAW,1.0,1.0,1.0,1.0,6.0,4.0,2.0,LAWYER,1.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,20.0,25.0,25.0,10.0,10.0,10.0,20.0,20.0,20.0,10.0,20.0,10.0,6.0,10.0,9.0,10.0,10.0
56,0,23.0,social work,11.0,2.0,10.0,9.0,1.0,3.0,1.0,social worker,9.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,17.0,18.0,18.0,15.0,17.0,15.0,32.0,10.0,12.0,27.0,7.0,12.0,10.0,10.0,8.0,9.0,5.0
57,0,22.0,Social Work,11.0,2.0,10.0,10.0,3.0,5.0,2.0,Social Worker,9.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,20.0,20.0,20.0,15.0,15.0,10.0,20.0,20.0,20.0,20.0,10.0,6.0,10.0,9.0,10.0,10.0
60,0,29.0,psychology,3.0,6.0,3.0,10.0,4.0,6.0,2.0,comedienne,6.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0,5.0,20.0,25.0,15.0,15.0,20.0,60.0,10.0,10.0,10.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0
61,0,28.0,German Literature,7.0,2.0,1.0,5.0,1.0,5.0,2.0,Academic,2.0,1.0,1.0,5.0,10.0,10.0,10.0,5.0,1.0,5.0,10.0,6.0,10.0,10.0,8.0,10.0,8.0,7.0,15.0,15.0,20.0,15.0,15.0,20.0,40.0,12.0,12.0,12.0,12.0,12.0,7.0,10.0,10.0,7.0,7.0
62,0,26.0,law,1.0,3.0,1.0,1.0,2.0,7.0,2.0,attorney,1.0,8.0,5.0,7.0,8.0,6.0,6.0,7.0,7.0,7.0,7.0,3.0,2.0,9.0,7.0,9.0,9.0,2.0,30.0,10.0,20.0,20.0,10.0,10.0,60.0,5.0,5.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0
63,0,24.0,Law,1.0,4.0,1.0,3.0,3.0,6.0,1.0,Undecided,10.0,5.0,3.0,8.0,6.0,9.0,8.0,5.0,1.0,2.0,10.0,1.0,8.0,9.0,4.0,5.0,6.0,2.0,5.0,15.0,45.0,25.0,0.0,10.0,50.0,5.0,20.0,15.0,0.0,10.0,6.0,8.0,8.0,9.0,7.0
64,0,27.0,Social Work,11.0,4.0,6.0,3.0,2.0,6.0,5.0,social worker,9.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,5.0,3.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,5.0,10.0,25.0,25.0,10.0,10.0,20.0,20.0,15.0,15.0,20.0,15.0,15.0,8.0,8.0,9.0,6.0,9.0
65,0,23.0,Social Work,11.0,6.0,6.0,3.0,2.0,5.0,3.0,Social Worker.... Clinician,3.0,7.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,6.0,17.0,17.0,17.0,17.0,17.0,15.0,20.0,18.0,18.0,14.0,15.0,15.0,7.0,9.0,8.0,9.0,9.0
66,1,29.0,Business & International Affairs,8.0,3.0,1.0,1.0,2.0,6.0,4.0,Private Equity Investing,7.0,4.0,2.0,3.0,6.0,4.0,3.0,3.0,6.0,4.0,8.0,6.0,4.0,8.0,4.0,6.0,4.0,2.0,20.0,25.0,15.0,15.0,53.0,20.0,15.0,20.0,20.0,20.0,10.0,15.0,6.0,7.0,8.0,7.0,8.0
67,1,22.0,Law,1.0,6.0,1.0,1.0,6.0,5.0,2.0,Lawyer or professional surfer,1.0,9.0,9.0,6.0,7.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,3.0,9.0,9.0,9.0,2.0,1.0,20.0,15.0,20.0,20.0,5.0,10.0,17.0,20.0,17.0,20.0,11.0,15.0,5.0,7.0,7.0,6.0,7.0
68,1,27.0,MFA Creative Writing,6.0,1.0,1.0,1.0,5.0,4.0,3.0,novelist,6.0,3.0,2.0,2.0,7.0,8.0,8.0,3.0,3.0,7.0,10.0,7.0,5.0,9.0,7.0,7.0,7.0,1.0,21.0,17.0,22.0,20.0,8.0,13.0,18.0,15.0,17.0,14.0,20.0,16.0,6.0,8.0,8.0,7.0,8.0
69,1,28.0,MBA,8.0,2.0,2.0,2.0,6.0,6.0,1.0,banker,7.0,10.0,7.0,5.0,5.0,3.0,2.0,1.0,3.0,9.0,8.0,2.0,4.0,7.0,6.0,7.0,2.0,1.0,50.0,10.0,30.0,10.0,0.0,0.0,20.0,10.0,40.0,20.0,10.0,0.0,5.0,9.0,8.0,5.0,8.0
70,1,26.0,MBA,8.0,2.0,5.0,1.0,5.0,2.0,1.0,Investment Banking,7.0,9.0,4.0,9.0,5.0,7.0,5.0,7.0,5.0,5.0,8.0,3.0,7.0,8.0,5.0,8.0,5.0,6.0,25.0,10.0,20.0,20.0,15.0,10.0,20.0,5.0,25.0,30.0,15.0,5.0,8.0,6.0,9.0,8.0,6.0
71,1,21.0,Law,1.0,2.0,6.0,7.0,5.0,6.0,2.0,Pro Beach Volleyball,14.0,9.0,10.0,6.0,4.0,3.0,3.0,7.0,6.0,7.0,7.0,8.0,3.0,10.0,6.0,8.0,2.0,1.0,60.0,15.0,0.0,15.0,0.0,10.0,80.0,10.0,0.0,10.0,0.0,0.0,6.0,8.0,10.0,8.0,10.0
72,1,22.0,Engineering,5.0,2.0,8.0,1.0,5.0,6.0,1.0,Engineer or iBanker or consultant,7.0,8.0,3.0,7.0,10.0,6.0,6.0,7.0,2.0,9.0,5.0,6.0,7.0,7.0,6.0,8.0,8.0,4.0,21.0,20.0,19.0,20.0,10.0,10.0,30.0,15.0,10.0,20.0,10.0,15.0,7.0,9.0,8.0,8.0,8.0
73,1,22.0,MBA,8.0,2.0,7.0,3.0,6.0,4.0,2.0,Trading,7.0,9.0,9.0,7.0,6.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,6.0,4.0,1.0,30.0,10.0,20.0,30.0,0.0,10.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,7.0,7.0,8.0,8.0
74,1,25.0,Electrical Engineering,5.0,2.0,3.0,1.0,5.0,7.0,2.0,Ph.D. Electrical Engineering,5.0,8.0,3.0,5.0,9.0,10.0,10.0,9.0,6.0,8.0,10.0,2.0,9.0,10.0,8.0,8.0,3.0,5.0,30.0,0.0,30.0,30.0,10.0,0.0,30.0,0.0,10.0,30.0,10.0,20.0,7.0,9.0,8.0,9.0,7.0
75,1,24.0,law,1.0,6.0,3.0,3.0,6.0,5.0,3.0,attorney,1.0,8.0,2.0,8.0,7.0,7.0,7.0,7.0,5.0,9.0,8.0,8.0,5.0,7.0,6.0,8.0,5.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,15.0,15.0,15.0,20.0,20.0,15.0,7.0,7.0,8.0,8.0,8.0
